CID;LAC;BCH;Localization;GPS
10797;8030;780;Brno - Komín, Olbrachtovo nám. 796/7, panelák, ex 1176x (+GSM);49°13'27.93"N,16°33'23.53"E
10798;8030;792;Brno - Komín, Olbrachtovo nám. 796/7, panelák, ex 1176x (+GSM);49°13'27.93"N,16°33'23.53"E
10799;8030;829;Brno - Komín, Olbrachtovo nám. 796/7, panelák, ex 1176x (+GSM);49°13'27.93"N,16°33'23.53"E
10804;8030;16;Brno - Komín, Olbrachtovo nám. 796/7, panelák, ex 1178x (+DCS);49°13'27.93"N,16°33'23.53"E
10805;8030;20;Brno - Komín, Olbrachtovo nám. 796/7, panelák, ex 1178x (+DCS);49°13'27.93"N,16°33'23.53"E
10807;8040;795;Brno - idenice, Neklanova, hala fy ALSTOM Power, ex 1237x (+GSM);49°11'40.33"N,16°37'54.65"E
10808;8040;788;Brno - idenice, Neklanova, hala fy ALSTOM Power, ex 1237x (+GSM);49°11'40.33"N,16°37'54.65"E
10809;8040;821;Brno - idenice, Neklanova, hala fy ALSTOM Power, ex 1237x (+GSM);49°11'40.33"N,16°37'54.65"E
10814;8040;10;Brno - idenice, Neklanova, hala fy ALSTOM Power, ex 1237x;49°11'40.33"N,16°37'54.65"E
10815;8040;18;Brno - idenice, Neklanova, hala fy ALSTOM Power, ex 1237x;49°11'40.33"N,16°37'54.65"E
10816;8040;15;Brno - idenice, Neklanova, hala fy ALSTOM Power, ex 1237x;49°11'40.33"N,16°37'54.65"E
10817;8050;827;Brno - Bystrc, Opálkova 757/14, panelák, ex 1204x (+GSM);49°13'18.86"N,16°31'54.52"E
10818;8050;778;Brno - Bystrc, Opálkova 757/14, panelák, ex 1204x (+GSM);49°13'18.86"N,16°31'54.52"E
10819;8050;786;Brno - Bystrc, Opálkova 757/14, panelák, ex 1204x (+GSM);49°13'18.86"N,16°31'54.52"E
10824;8050;15;Brno - Bystrc, Opálkova 757/14, panelák, ex 1204x (+DCS);49°13'18.86"N,16°31'54.52"E
10825;8050;1;Brno - Bystrc, Opálkova 757/14, panelák, ex 1204x (+DCS);49°13'18.86"N,16°31'54.52"E
10826;8050;19;Brno - Bystrc, Opálkova 757/14, panelák, ex 1204x (+DCS);49°13'18.86"N,16°31'54.52"E
10827;8030;809;Brno - Královo Pole, Palackého 645/83, bytovı dùm, ex 1246x (+GSM);49°13'33.97"N,16°35'35.64"E
10828;8030;794;Brno - Královo Pole, Palackého 645/83, bytovı dùm, ex 1246x (+GSM);49°13'33.97"N,16°35'35.64"E
10829;8030;796;Brno - Královo Pole, Palackého 645/83, bytovı dùm, ex 1246x (+GSM);49°13'33.97"N,16°35'35.64"E
10834;8030;7;Brno - Královo Pole, Palackého 645/83, bytovı dùm, ex 1246x (+DCS);49°13'33.97"N,16°35'35.64"E
10835;8030;2;Brno - Královo Pole, Palackého 645/83, bytovı dùm, ex 1246x (+DCS);49°13'33.97"N,16°35'35.64"E
10836;8030;12;Brno - Královo Pole, Palackého 645/83, bytovı dùm, ex 1246x (+DCS);49°13'33.97"N,16°35'35.64"E
10837;8040;825;Brno - Staré Brno, Pekaøská 444/92, ex 1284x;49°11'30.43"N,16°35'45.50"E
10838;8040;783;Brno - Staré Brno, Pekaøská 444/92, ex 1284x;49°11'30.43"N,16°35'45.50"E
10839;8040;816;Brno - Staré Brno, Pekaøská 444/92, ex 1284x;49°11'30.43"N,16°35'45.50"E
10844;8040;782;Brno - Staré Brno, Pekaøská 422/42, ex 1001x;49°11'30.81"N,16°36'00.98"E
10845;8040;778;Brno - Staré Brno, Pekaøská 422/42, ex 1001x;49°11'30.81"N,16°36'00.98"E
10846;8040;788;Brno - Staré Brno, Pekaøská 422/42, ex 1001x;49°11'30.81"N,16°36'00.98"E
10847;8040;6;Brno - Staré Brno, Pekaøská 422/42, ex 1001x;49°11'30.81"N,16°36'00.98"E
10848;8040;19;Brno - Staré Brno, Pekaøská 422/42, ex 1001x;49°11'30.81"N,16°36'00.98"E
10855;8030;821;Brno - Královo Pole, Kolejní 2905/2, blok A04 kolejí VUT, ex 1344x;49°13'55.46"N,16°34'18.32"E
10856;8030;793;Brno - Královo Pole, Kolejní 2905/2, blok A04 kolejí VUT, ex 1344x;49°13'55.46"N,16°34'18.32"E
10857;8030;820;Brno - Královo Pole, Palackého tøída 1624/4, bytovı dùm, ex 1391x;49°13'04.12"N,16°35'54.90"E
10858;8030;792;Brno - Královo Pole, Palackého tøída 1624/4, bytovı dùm, ex 1391x;49°13'04.12"N,16°35'54.90"E
10859;8030;827;Brno - Královo Pole, Palackého tøída 1624/4, bytovı dùm, ex 1391x;49°13'04.12"N,16°35'54.90"E
10864;8040;785;Brno - Zábrdovice, Pøádlácká 40/2, ex 1358x;49°12'02.60"N,16°37'30.47"E
10865;8040;817;Brno - Zábrdovice, Pøádlácká 40/2, ex 1358x;49°12'02.60"N,16°37'30.47"E
10866;8040;781;Brno - Zábrdovice, Pøádlácká 40/2, ex 1358x;49°12'02.60"N,16°37'30.47"E
10867;8040;789;Brno - Zábrdovice, Pøíkop 4-8, budova IBC, ex 1250x (+O2);49°11'59.69"N,16°36'50.72"E
10868;8040;820;Brno - Zábrdovice, Pøíkop 4-8, budova IBC, ex 1250x (+O2);49°11'59.69"N,16°36'50.72"E
10869;8040;785;Brno - Zábrdovice, Pøíkop 4-8, budova IBC, ex 1250x (+O2);49°11'59.69"N,16°36'50.72"E
10874;8030;790;Brno - Královo Pole, Purkyòova 2640/93, koleje VUT, blok B02, ex 1006x;49°13'22.32"N,16°34'55.64"E
10875;8030;816;Brno - Královo Pole, Purkyòova 2640/93, koleje VUT, blok B02, ex 1006x;49°13'22.32"N,16°34'55.64"E
10876;8030;823;Brno - Královo Pole, Purkyòova 2640/93, koleje VUT, blok B02, ex 1006x;49°13'22.32"N,16°34'55.64"E
10877;8030;15;Brno - Královo Pole, Purkyòova 2640/93, koleje VUT, blok B02, ex 1006x;49°13'22.32"N,16°34'55.64"E
10878;8030;5;Brno - Královo Pole, Purkyòova 2640/93, koleje VUT, blok B02, ex 1006x;49°13'22.32"N,16°34'55.64"E
10879;8030;3;Brno - Královo Pole, Purkyòova 2640/93, koleje VUT, blok B02, ex 1006x;49°13'22.32"N,16°34'55.64"E
10884;8050;814;Brno - Slatina, Prostìjovská 997/7, panelák, ex 1279x;49°10'52.95"N,16°41'20.77"E
10885;8050;827;Brno - Slatina, Prostìjovská 997/7, panelák, ex 1279x;49°10'52.95"N,16°41'20.77"E
